term_ID,HPO_term_name,phecode,phecode_string
69,Abnormality of the ureter,751.3,Obstructive genitourinary defect
70,Ureterocele,751.3,Obstructive genitourinary defect
71,Ureteral stenosis,597.1,Urethral stricture (not specified as infectious)
72,Hydroureter,586.4,Stricture/obstruction of ureter
73,Ureteral duplication,751.2,Congenital anomalies of urinary system
74,Ureteropelvic junction obstruction,586.4,Stricture/obstruction of ureter
75,Renal duplication,751.22,Other specified congenital anomalies of kidney
76,Vesicoureteral reflux,586.12,Vesicoureteral reflux
77,Abnormality of the kidney,"",
78,Abnormality of the genital system,"",
79,Abnormality of the urinary system,"",
80,Abnormality of reproductive system physiology,"",
81,Duplicated collecting system,751.22,Other specified congenital anomalies of kidney
83,Renal insufficiency,585.2,Renal failure NOS
85,Horseshoe kidney,751.22,Other specified congenital anomalies of kidney
86,Ectopic kidney,751.22,Other specified congenital anomalies of kidney
89,Renal hypoplasia,586.11,Small kidney
90,Nephronophthisis,751.21,Cystic kidney disease
91,Abnormality of the renal tubule,"",
92,Tubular atrophy,"",
93,Proteinuria,269,Proteinuria
96,Glomerulosclerosis,580.12,Non-proliferative glomerulonephritis
97,Focal segmental glomerulosclerosis,580.12,Non-proliferative glomerulonephritis
98,Tall stature,253.11,Acromegaly and gigantism
99,Glomerulonephritis,580.1,Glomerulonephritis
100,Nephrotic syndrome,580,Nephritis; nephrosis; renal sclerosis
103,Polyuria,599.5,Frequency of urination and polyuria
104,Renal agenesis,751.22,Other specified congenital anomalies of kidney
105,Enlarged kidney,751.22,Other specified congenital anomalies of kidney
107,Renal cyst,586.2,"Cyst of kidney, acquired"
108,Renal corticomedullary cysts,586.2,"Cyst of kidney, acquired"
110,Renal dysplasia,751.21,Cystic kidney disease
111,Renal juxtaglomerular cell hypertrophy/hyperplasia,586.3,Vascular disorders of kidney/hypertrophy
112,Nephropathy,580,Nephritis; nephrosis; renal sclerosis
113,Polycystic kidney dysplasia,751.21,Cystic kidney disease
114,Proximal tubulopathy,"",
117,Renal phosphate wasting,588,Disorders resulting from impaired renal function
119,Abnormality of the genitourinary system,"",
121,Nephrocalcinosis,275.5,Disorders of calcium/phosphorus metabolism
122,Unilateral renal agenesis,751.22,Other specified congenital anomalies of kidney
123,Nephritis,580,Nephritis; nephrosis; renal sclerosis
124,Renal tubular dysfunction,588,Disorders resulting from impaired renal function
125,Pelvic kidney,751.22,Other specified congenital anomalies of kidney
126,Hydronephrosis,595,Hydronephrosis
127,Renal salt wasting,586,Other disorders of the kidney and ureters
128,Renal potassium wasting,588,Disorders resulting from impaired renal function
130,Abnormality of the uterus,751.11,Congenital anomalies of female genital organs
131,Uterine leiomyoma,218.1,Uterine leiomyoma
132,Menorrhagia,627.4,Premenopausal menorrhagia
133,Gonadal dysgenesis,758.1,Chromosomal anomalies
134,Female hypogonadism,627.5,Premature menopause and other ovarian failure
135,Hypogonadism,257.1,Testicular hypofunction
136,Bifid uterus,"",
137,Abnormality of the ovary,"",
138,Ovarian cyst,628,Ovarian cyst
139,Uterine prolapse,618.2,Uterine/Uterovaginal prolapse
140,Abnormality of the menstrual cycle,626.1,Irregular menstrual cycle/bleeding
141,Amenorrhea,626.11,Absent or infrequent menstruation
142,Abnormality of the vagina,751.11,Congenital anomalies of female genital organs
143,Rectovaginal fistula,617,"Disorders secondary to childbirth, surgery, trauma"
144,Decreased fertility,"",
145,Transverse vaginal septum,751.11,Congenital anomalies of female genital organs
147,Polycystic ovaries,256.4,Polycystic ovaries
148,Vaginal atresia,619.4,Noninflammatory disorders of vagina
149,Ovarian gonadoblastoma,184,Cancer of other female genital organs
150,Gonadoblastoma,187.8,Neoplasm of uncertain behavior of male genital organs
151,Aplasia of the uterus,751.11,Congenital anomalies of female genital organs
153,Abnormality of the mouth,"",
154,Wide mouth,749,Congenital anomalies of face and neck
155,Oral ulcer,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"
157,Abnormality of the tongue,"",
158,Macroglossia,750.13,Congenital anomalies of mouth/tongue
160,Narrow mouth,749,Congenital anomalies of face and neck
161,Median cleft lip,749.1,Cleft palate
162,Glossoptosis,529,Diseases and other conditions of the tongue
163,Abnormality of the oral cavity,"",
164,Abnormality of the dentition,524,"Dentofacial anomalies, including malocclusion"
166,Severe periodontitis,523.3,Periodontitis (acute or chronic)
169,Gingival fibromatosis,523,Gingival and periodontal diseases
171,Microglossia,750.13,Congenital anomalies of mouth/tongue
174,Abnormality of the palate,"",
175,Cleft palate,749.1,Cleft palate
176,Submucous cleft hard palate,749.1,Cleft palate
178,Abnormality of lower lip,"",
179,Thick lower lip vermilion,"",
180,Lobulated tongue,750.13,Congenital anomalies of mouth/tongue
183,Difficulty in tongue movements,"",
185,Cleft soft palate,749.1,Cleft palate
187,Broad alveolar ridges,"",
188,Short upper lip,"",
189,Narrow palate,"",
190,Abnormal oral frenulum morphology,"",
191,Accessory oral frenulum,"",
193,Bifid uvula,749.1,Cleft palate
194,Open mouth,"",
196,Lower lip pit,"",
197,Abnormality of parotid gland,"",
198,Absence of Stensen duct,"",
199,Tongue nodules,293.1,"Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]"
200,Short lingual frenulum,"",
201,Pierre-Robin sequence,749.2,Congenital anomalies of skull and face bones
202,Oral cleft,749.1,Cleft palate
204,Cleft upper lip,749.1,Cleft palate
205,Pursed lips,"",
206,Glossitis,529.1,Glossitis
207,Triangular mouth,"",
211,Trismus,350.1,Abnormal involuntary movements
212,Gingival overgrowth,523,Gingival and periodontal diseases
214,Lip telangiectasia,217.1,"Nevus, non-neoplastic"
215,Thick upper lip vermilion,"",
216,Broad secondary alveolar ridge,"",
217,Xerostomia,527.7,Disturbance of salivary secretion
218,High palate,750.13,Congenital anomalies of mouth/tongue
219,Thin upper lip vermilion,"",
220,Velopharyngeal insufficiency,750.13,Congenital anomalies of mouth/tongue
221,Furrowed tongue,529,Diseases and other conditions of the tongue
222,Gingival hyperkeratosis,523,Gingival and periodontal diseases
224,Decreased taste sensation,350.6,Disturbances of sensation of smell and taste
225,Gingival bleeding,523,Gingival and periodontal diseases
227,Tongue telangiectasia,448,Disease of capillaries
230,Gingivitis,523.1,Gingivitis
232,Everted lower lip vermilion,"",
233,Thin vermilion border,"",
234,Abnormality of the head,"",
235,Abnormality of the fontanelles or cranial sutures,"",
237,Small anterior fontanelle,"",
238,Hydrocephalus,331.1,Hydrocephalus
239,Large fontanelles,749.2,Congenital anomalies of skull and face bones
242,Parietal bossing,"",
243,Trigonocephaly,749.2,Congenital anomalies of skull and face bones
244,Brachyturricephaly,749.2,Congenital anomalies of skull and face bones
246,Sinusitis,475,Chronic sinusitis
248,Brachycephaly,749.2,Congenital anomalies of skull and face bones
250,Dense calvaria,"",
252,Microcephaly,752.2,Other specified congenital anomalies of nervous system
253,Progressive microcephaly,752.2,Other specified congenital anomalies of nervous system
256,Macrocephaly,749.2,Congenital anomalies of skull and face bones
260,Wide anterior fontanel,"",
262,Turricephaly,749.2,Congenital anomalies of skull and face bones
263,Oxycephaly,749.2,Congenital anomalies of skull and face bones
264,Abnormality of the mastoid,"",
265,Mastoiditis,381.3,Mastoiditis & related conditions
267,Cranial asymmetry,749.2,Congenital anomalies of skull and face bones
268,Dolichocephaly,749,Congenital anomalies of face and neck
269,Prominent occiput,"",
270,Delayed cranial suture closure,749.2,Congenital anomalies of skull and face bones
271,Abnormality of the face,"",
272,Malar flattening,"",
273,Facial grimacing,"",
274,Small face,"",
275,Narrow face,"",
276,Long face,"",
277,Abnormality of the mandible,"",
278,Retrognathia,526.3,Anomalies of jaw size/symmetry
280,Coarse facial features,"",
282,Facial edema,782.3,Edema
283,Broad face,"",
284,Abnormality of the ocular region,"",
286,Epicanthus,"",
287,Increased facial adipose tissue,"",
288,Abnormality of the philtrum,"",
289,Broad philtrum,"",
290,Abnormality of the forehead,"",
292,Loss of facial adipose tissue,"",
293,Full cheeks,"",
294,Low anterior hairline,"",
295,Doll-like facies,"",
297,Facial hypotonia,358,Myoneural disorders
298,Mask-like facies,"",
300,Oval face,"",
303,Mandibular prognathia,526.3,Anomalies of jaw size/symmetry
307,Pointed chin,"",
308,Microretrognathia,526.3,Anomalies of jaw size/symmetry
311,Round face,"",
316,Hypertelorism,376,Disorders of the orbit
317,Facial myokymia,352.2,Facial nerve disorders [CN7]
319,Smooth philtrum,"",
320,Bird-like facies,"",
321,Square face,"",
322,Short philtrum,"",
324,Facial asymmetry,"",
325,Triangular face,"",
327,Hypoplasia of the maxilla,526.3,Anomalies of jaw size/symmetry
329,Facial hemangioma,228.1,Hemangioma of skin and subcutaneous tissue
331,Short chin,"",
336,Prominent supraorbital ridges,"",
337,Broad forehead,"",
338,Hypomimic face,"",
339,Pugilistic facies,"",
340,Sloping forehead,"",
341,Narrow forehead,"",
343,Long philtrum,"",
346,Whistling appearance,"",
347,Micrognathia,526.3,Anomalies of jaw size/symmetry
348,High forehead,"",
349,Widow's peak,"",
350,Small forehead,"",
356,Abnormality of the outer ear,749,Congenital anomalies of face and neck
358,Posteriorly rotated ears,"",
359,Abnormality of the inner ear,"",
360,Tinnitus,389.4,Tinnitus
361,Pulsatile tinnitus (tympanic paraganglioma),"",
362,Otosclerosis,383,Otosclerosis
363,Abnormality of earlobe,"",
364,Hearing abnormality,"",
365,Hearing impairment,389,Hearing loss
366,Abnormality of the nose,"",
368,"Low-set, posteriorly rotated ears","",
369,Low-set ears,749,Congenital anomalies of face and neck
370,Abnormality of the middle ear,381,Otitis media and Eustachian tube disorders
372,Abnormality of the auditory canal,"",
376,Incomplete partition of the cochlea type II,"",
377,Abnormality of the pinna,749,Congenital anomalies of face and neck
378,Cupped ear,749,Congenital anomalies of face and neck
381,Stapes ankylosis,741.1,Ankylosis of joint
383,Abnormality of periauricular region,"",
384,Preauricular skin tag,749,Congenital anomalies of face and neck
385,Small earlobe,"",
387,Absent earlobe,"",
388,Otitis media,381.1,Otitis media
389,Chronic otitis media,381.1,Otitis media
391,Thickened helices,"",
394,Lop ear,749,Congenital anomalies of face and neck
395,Prominent antihelix,"",
396,Overfolded helix,"",
399,Prelingual sensorineural hearing impairment,749,Congenital anomalies of face and neck
400,Macrotia,749,Congenital anomalies of face and neck
402,Stenosis of the external auditory canal,380,Disorders of external ear
403,Recurrent otitis media,381.1,Otitis media
405,Conductive hearing impairment,389.2,Conductive hearing loss
407,Sensorineural hearing impairment,389.1,Sensorineural hearing loss
408,Progressive sensorineural hearing impairment,389.1,Sensorineural hearing loss
410,Mixed hearing impairment,389,Hearing loss
411,Protruding ear,"",
413,Atresia of the external auditory canal,749,Congenital anomalies of face and neck
414,Bulbous nose,"",
417,Slender nose,"",
418,Narrow nasal ridge,"",
420,Short nasal septum,"",
421,Epistaxis,477,Epistaxis or throat hemorrhage
422,Abnormality of the nasal bridge,"",
426,Prominent nasal bridge,"",
429,Abnormality of the nasal alae,"",
430,Underdeveloped nasal alae,"",
431,Wide nasal bridge,"",
434,Nasal mucosa telangiectasia,448,Disease of capillaries
437,Depressed nasal tip,"",
444,Convex nasal ridge,"",
445,Wide nose,"",
446,Narrow nasal bridge,"",
447,Pear-shaped nose,"",
448,Prominent nose,"",
451,Triangular nasal tip,"",
452,Choanal stenosis,749,Congenital anomalies of face and neck
453,Choanal atresia,749,Congenital anomalies of face and neck
454,Flared nostrils,"",
455,Broad nasal tip,"",
456,Bifid nasal tip,"",
457,Depressed nasal ridge,"",
458,Anosmia,350.6,Disturbances of sensation of smell and taste
460,Narrow nose,"",
463,Anteverted nares,"",
464,Abnormality of the neck,"",
465,Webbed neck,749,Congenital anomalies of face and neck
466,Limited neck range of motion,"",
467,Neck muscle weakness,772.3,Muscle weakness
468,Increased adipose tissue around the neck,278.3,Localized adiposity
470,Short neck,"",
471,Gastrointestinal angiodysplasia,537.1,Lesions of stomach and duodenum
472,Long neck,"",
473,Torticollis,723.1,Torticollis
474,Thickened nuchal skin fold,"",
475,Broad neck,"",
476,Cystic hygroma,228,"Hemangioma and lymphangioma, any site"
478,Abnormality of the eye,360,Disorders of the globe
480,Retinal coloboma,753.2,Congenital anomalies of posterior segment of eye
481,Abnormal cornea morphology,364,Corneal opacity and other disorders of cornea
482,Microcornea,753,Congenital anomalies of the eye
483,Astigmatism,367.2,Astigmatism
484,Hyperopic astigmatism,367.2,Astigmatism
485,Megalocornea,753,Congenital anomalies of the eye
486,Strabismus,378,Strabismus and other disorders of binocular eye movements
487,Congenital strabismus,378,Strabismus and other disorders of binocular eye movements
488,Retinopathy,362.3,Other nondiabetic retinopathy
490,Deeply set eye,376,Disorders of the orbit
491,Keratitis,370,Keratitis
492,Abnormal eyelid morphology,"",
493,Abnormal foveal morphology,"",
494,Downslanted palpebral fissures,"",
495,Recurrent corneal erosions,364.4,Corneal degenerations
496,Abnormality of eye movement,378,Strabismus and other disorders of binocular eye movements
498,Blepharitis,371.3,Inflammation of eyelids
499,Abnormality of the eyelashes,"",
501,Glaucoma,365,Glaucoma
502,Abnormality of the conjunctiva,"",
503,Tortuosity of conjunctival vessels,"",
504,Abnormality of vision,"",
505,Visual impairment,367.9,Blindness and low vision
506,Telecanthus,374,Other disorders of eyelids
508,Ptosis,374.3,Ptosis of eyelid
509,Conjunctivitis,369.5,"Conjunctivitis, infectious"
510,Rod-cone dystrophy,362.7,Hereditary retinal dystrophies
511,Vertical supranuclear gaze palsy,378,Strabismus and other disorders of binocular eye movements
512,Abnormal electroretinogram,346,Abnormal findings on study of brain and/or nervous system
514,Slow saccadic eye movements,378.2,Nystagmus and other irregular eye movements
518,Cataract,366,Cataract
519,Congenital cataract,753.1,Congenital cataract and lens anomalies
520,Proptosis,242.3,Exophthalmos
522,Alacrima,375,Disorders of lacrimal system
523,Subcapsular cataract,366,Cataract
524,Conjunctival telangiectasia,448,Disease of capillaries
526,Aniridia,753,Congenital anomalies of the eye
527,Long eyelashes,"",
528,Anophthalmia,753,Congenital anomalies of the eye
529,Progressive visual loss,367.9,Blindness and low vision
531,Corneal crystals,364,Corneal opacity and other disorders of cornea
532,Abnormal chorioretinal morphology,"",
533,Chorioretinal atrophy,363.4,Choroidal degenerations
534,Abnormal eyebrow morphology,"",
535,Sparse and thin eyebrow,"",
537,Epicanthus inversus,"",
538,Pseudopapilledema,377,Disorders of optic nerve and visual pathways
539,Abnormality of refraction,"",
540,Hypermetropia,367.8,Hypermetropia
541,Retinal detachment,361,Retinal detachments and defects
542,Impaired ocular adduction,378,Strabismus and other disorders of binocular eye movements
543,Optic disc pallor,377.1,Optic atrophy
544,External ophthalmoplegia,378.5,Paralytic strabismus
545,Myopia,367.1,Myopia
546,Retinal degeneration,362,Other retinal disorders
547,Tapetoretinal degeneration,362.7,Hereditary retinal dystrophies
548,Cone/cone-rod dystrophy,362.7,Hereditary retinal dystrophies
549,Abnormal conjugate eye movement,378,Strabismus and other disorders of binocular eye movements
550,Undetectable electroretinogram,346,Abnormal findings on study of brain and/or nervous system
551,Abnormality of color vision,368.5,Color vision deficiencies
552,Tritanomaly,368.5,Color vision deficiencies
554,Uveitis,371.1,"Uveitis, noninfectious or NOS"
555,Leukocoria,360,Disorders of the globe
556,Retinal dystrophy,362.7,Hereditary retinal dystrophies
557,Buphthalmos,753,Congenital anomalies of the eye
558,Rieger anomaly,753,Congenital anomalies of the eye
559,Corneal scarring,364,Corneal opacity and other disorders of cornea
561,Absent eyelashes,"",
563,Keratoconus,364.41,Keratoconus
564,Lacrimal duct atresia,749,Congenital anomalies of face and neck
565,Esotropia,378.1,Strabismus (not specified as paralytic)
567,Chorioretinal coloboma,753.2,Congenital anomalies of posterior segment of eye
568,Microphthalmia,753,Congenital anomalies of the eye
570,Abnormality of saccadic eye movements,378.2,Nystagmus and other irregular eye movements
571,Hypometric saccades,378.2,Nystagmus and other irregular eye movements
572,Visual loss,367.9,Blindness and low vision
573,Retinal hemorrhage,362.8,Retinal hemorrhage/ischemia
574,Thick eyebrow,"",
575,Scotoma,368.4,Visual field defects
576,Centrocecal scotoma,368.4,Visual field defects
577,Exotropia,378.1,Strabismus (not specified as paralytic)
579,Nasolacrimal duct obstruction,375,Disorders of lacrimal system
580,Pigmentary retinopathy,362.7,Hereditary retinal dystrophies
581,Blepharophimosis,374,Other disorders of eyelids
582,Upslanted palpebral fissure,"",
585,Band keratopathy,364.4,Corneal degenerations
586,Shallow orbits,"",
587,Abnormality of the optic nerve,"",
588,Optic nerve coloboma,377,Disorders of optic nerve and visual pathways
589,Coloboma,753,Congenital anomalies of the eye
590,Progressive external ophthalmoplegia,378,Strabismus and other disorders of binocular eye movements
591,Abnormal sclera morphology,"",
592,Blue sclerae,753,Congenital anomalies of the eye
593,Abnormal anterior chamber morphology,"",
594,Shallow anterior chamber,"",
597,Ophthalmoparesis,378.5,Paralytic strabismus
598,Abnormality of the ear,385,Other disorders of middle ear and mastoid
600,Abnormality of the pharynx,"",
601,Hypotelorism,"",
602,Ophthalmoplegia,378.5,Paralytic strabismus
603,Central scotoma,368.4,Visual field defects
605,Supranuclear gaze palsy,378,Strabismus and other disorders of binocular eye movements
607,Periorbital wrinkles,"",
608,Macular degeneration,362.2,Degeneration of macula and posterior pole of retina
609,Optic nerve hypoplasia,377.3,Optic neuritis/neuropathy
611,Choroid coloboma,753,Congenital anomalies of the eye
612,Iris coloboma,753,Congenital anomalies of the eye
613,Photophobia,368.9,Subjective visual disturbances
614,Abnormal morphology of the nasolacrimal system,"",
615,Abnormal pupil morphology,379.5,Disorders of iris and ciliary body
616,Miosis,379.4,Anomalies of pupillary function
618,Blindness,367.9,Blindness and low vision
619,Impaired convergence,"",
620,Dacryocystitis,369,Infection of the eye
621,Entropion,374.1,Ectropion or entropion
622,Blurred vision,368,Visual disturbances
623,Supranuclear ophthalmoplegia,333.8,Other degenerative diseases of the basal ganglia
625,Eyelid coloboma,749,Congenital anomalies of face and neck
627,Posterior embryotoxon,753,Congenital anomalies of the eye
629,Periorbital fullness,"",
632,Lacrimation abnormality,375,Disorders of lacrimal system
633,Decreased lacrimation,375.1,Dry eyes
634,Impaired ocular abduction,378,Strabismus and other disorders of binocular eye movements
635,Blue irides,"",
636,Upper eyelid coloboma,753,Congenital anomalies of the eye
637,Long palpebral fissure,"",
639,Nystagmus,378.2,Nystagmus and other irregular eye movements
640,Gaze-evoked nystagmus,378.2,Nystagmus and other irregular eye movements
641,Dysmetric saccades,378.2,Nystagmus and other irregular eye movements
642,Red-green dyschromatopsia,368.5,Color vision deficiencies
643,Blepharospasm,333.4,Torsion dystonia
646,Amblyopia,368.1,Amblyopia
647,Sclerocornea,753,Congenital anomalies of the eye
648,Optic atrophy,377.1,Optic atrophy
649,Abnormality of visual evoked potentials,346,Abnormal findings on study of brain and/or nervous system
650,Abnormal amplitude of pattern reversal visual evoked potentials,346,Abnormal findings on study of brain and/or nervous system
651,Diplopia,368.2,Diplopia and disorders of binocular vision
652,Lower eyelid coloboma,753,Congenital anomalies of the eye
653,Sparse eyelashes,"",
654,Decreased light- and dark-adapted electroretinogram amplitude,346,Abnormal findings on study of brain and/or nervous system
655,Vitreoretinal degeneration,362.7,Hereditary retinal dystrophies
656,Ectropion,374.1,Ectropion or entropion
657,Oculomotor apraxia,378,Strabismus and other disorders of binocular eye movements
658,Eyelid apraxia,374,Other disorders of eyelids
659,Peters anomaly,753,Congenital anomalies of the eye
660,Lipemia retinalis,"",
661,Palpebral fissure narrowing on adduction,"",
662,Nyctalopia,368,Visual disturbances
664,Synophrys,"",
666,Horizontal nystagmus,378.2,Nystagmus and other irregular eye movements
667,Phthisis bulbi,360,Disorders of the globe
668,Hypodontia,520.1,Hereditary disturbances in tooth structure
670,Carious teeth,521.1,Dental caries
674,Anodontia,520.1,Hereditary disturbances in tooth structure
675,Macrodontia of permanent maxillary central incisor,"",
677,Oligodontia,520.1,Hereditary disturbances in tooth structure
678,Dental crowding,524.3,Anomalies of tooth position/malocclusion
679,Taurodontia,520.1,Hereditary disturbances in tooth structure
680,Delayed eruption of primary teeth,520.2,Disturbances in tooth eruption
682,Abnormality of dental enamel,"",
683,Grayish enamel,"",
684,Delayed eruption of teeth,520.2,Disturbances in tooth eruption
685,Hypoplasia of teeth,520.1,Hereditary disturbances in tooth structure
687,Widely spaced teeth,524.3,Anomalies of tooth position/malocclusion
689,Dental malocclusion,524.3,Anomalies of tooth position/malocclusion
690,Agenesis of maxillary lateral incisor,520.2,Disturbances in tooth eruption
691,Microdontia,520.1,Hereditary disturbances in tooth structure
692,Misalignment of teeth,524.3,Anomalies of tooth position/malocclusion
694,Shell teeth,520.1,Hereditary disturbances in tooth structure
695,Natal tooth,520.2,Disturbances in tooth eruption
696,Delayed eruption of permanent teeth,520.2,Disturbances in tooth eruption
698,Conical tooth,520.1,Hereditary disturbances in tooth structure
699,Diastema,524.3,Anomalies of tooth position/malocclusion
700,Periapical bone loss,"",
703,Dentinogenesis imperfecta,520.1,Hereditary disturbances in tooth structure
704,Periodontitis,523.3,Periodontitis (acute or chronic)
705,Amelogenesis imperfecta,520.1,Hereditary disturbances in tooth structure
706,Unerupted tooth,520.2,Disturbances in tooth eruption
707,Abnormality of the nervous system,"",
708,Behavioral abnormality,312,Conduct disorders
709,Psychosis,295.3,Psychosis
710,Hyperorality,"",
711,Restlessness,"",
712,Emotional lability,1004,Other signs and symptoms involving emotional state
713,Agitation,300,Anxiety disorders
716,Depressivity,296.2,Depression
717,Autism,313.3,Autism
718,Aggressive behavior,312,Conduct disorders
719,Inappropriate behavior,"",
720,Mood swings,1004,Other signs and symptoms involving emotional state
721,Lack of spontaneous play,"",
722,Obsessive-compulsive behavior,300.3,Obsessive-compulsive disorders
723,Restrictive behavior,"",
725,Psychotic episodes,295.3,Psychosis
726,Dementia,290.1,Dementias
727,Frontal lobe dementia,290.12,Dementia with cerebral degenerations
729,Autistic behavior,313.3,Autism
732,Inflexible adherence to routines or rituals,"",
733,Stereotypy,313.2,Tics and stuttering
734,Disinhibition,"",
735,Impaired social interactions,"",
736,Short attention span,313.1,Attention deficit hyperactivity disorder
737,Irritability,1004,Other signs and symptoms involving emotional state
738,Hallucinations,292.6,Hallucinations
739,Anxiety,300.1,Anxiety disorder
740,Episodic paroxysmal anxiety,300.1,Anxiety disorder
741,Apathy,"",
742,Self-mutilation,300,Anxiety disorders
743,Frontal release signs,"",
744,Low frustration tolerance,"",
746,Delusions,295.2,Paranoid disorders
748,Inappropriate laughter,"",
749,Paroxysmal bursts of laughter,"",
750,Delayed speech and language development,315.2,Speech and language disorder
751,Personality changes,290.3,Other persistent mental disorders due to conditions classified elsewhere
752,Hyperactivity,313.1,Attention deficit hyperactivity disorder
756,Agoraphobia,300.12,"Agorophobia, social phobia, and panic disorder"
757,Lack of insight,"",
758,Impaired use of nonverbal behaviors,"",
759,Abnormal peripheral nervous system morphology,"",
762,Decreased nerve conduction velocity,"",
763,Sensory neuropathy,356,Hereditary and idiopathic peripheral neuropathy
764,Peripheral axonal degeneration,356,Hereditary and idiopathic peripheral neuropathy
765,Abnormality of the thorax,"",
766,Abnormality of the sternum,756.2,Pectus and other congenital anomalies of ribs/sternum
767,Pectus excavatum,756.21,Pectus excavatum
768,Pectus carinatum,756.22,Pectus carinatum
769,Abnormality of the breast,"",
771,Gynecomastia,612.2,Hypertrophy of breast (Gynecomastia)
772,Abnormality of the ribs,756.2,Pectus and other congenital anomalies of ribs/sternum
773,Short ribs,756.2,Pectus and other congenital anomalies of ribs/sternum
774,Narrow chest,"",
775,Abnormality of the diaphragm,"",
776,Congenital diaphragmatic hernia,756.1,Congenital anomalies of abdominal wall; diaphram
777,Abnormality of the thymus,254,Diseases of thymus gland
778,Hypoplasia of the thymus,254,Diseases of thymus gland
782,Abnormality of the scapula,"",
786,Primary amenorrhea,626.11,Absent or infrequent menstruation
787,Nephrolithiasis,594.1,Calculus of kidney
789,Infertility,609,Male infertility and abnormal spermatozoa
790,Hematuria,593,Hematuria
791,Uric acid nephrolithiasis,274.11,Gouty arthropathy
793,Membranoproliferative glomerulonephritis,580.11,Proliferative glomerulonephritis
795,Abnormality of the urethra,"",
798,Oligospermia,609.11,Azoospermia and oligospermia
799,Renal steatosis,586,Other disorders of the kidney and ureters
800,Cystic renal dysplasia,586.2,"Cyst of kidney, acquired"
802,Impotence,605,Erectile dysfunction [ED]
803,Renal cortical cysts,586.2,"Cyst of kidney, acquired"
804,Xanthine nephrolithiasis,594,Urinary calculus
805,Enuresis,313,Pervasive developmental disorders
807,Glandular hypospadias,751.12,Congenital anomalies of male genital organs
808,Penoscrotal hypospadias,751.12,Congenital anomalies of male genital organs
812,Abnormal internal genitalia,"",
813,Bicornuate uterus,751.11,Congenital anomalies of female genital organs
815,Hypergonadotropic hypogonadism,758.1,Chromosomal anomalies
817,Poor eye contact,"",
818,Abnormality of the endocrine system,"",
819,Diabetes mellitus,250,Diabetes mellitus
820,Abnormality of the thyroid gland,240,Simple and unspecified goiter
821,Hypothyroidism,244,Hypothyroidism
822,Hypertension,401,Hypertension
823,Delayed puberty,259.3,Delay in sexual development and puberty NEC
824,Growth hormone deficiency,253.5,Pituitary dwarfism
825,Hyperinsulinemic hypoglycemia,251.1,Hypoglycemia
